STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750330,36, , ,6,0700,24, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750331,30, , ,6,0700,24, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750401,55, , ,6,0700,36, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750402,56, , ,6,0700,35, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750403,64, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750404,36, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750405,41, , ,6,0700,22, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750406,44, , ,6,0700,24, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750407,48, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750408,51, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750409,52, , ,6,0700,29, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750410,51, , ,6,0700,28, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750411,54, , ,6,0700,29, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750412,48, , ,6,0700,20, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750413,51, , ,6,0700,20, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750414,54, , ,6,0700,32, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750415,48, , ,6,0700,31, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750416,52, , ,6,0700,31, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750417,60, , ,6,0700,36, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750418,74, , ,6,0700,46, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750419,72, , ,6,0700,42, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750420,53, , ,6,0700,40, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750421,49, , ,6,0700,30, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750422,54, , ,6,0700,30, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750423,72, , ,6,0700,47, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750424,62, , ,6,0700,53, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750425,66, , ,6,0700,50, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750426,50, , ,6,0700,40, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750427,59, , ,6,0700,40, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750428,49, , ,6,0700,41, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750429,60, , ,6,0700,41, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750430,75, , ,6,0700,42, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750501,65, , ,6,0700,50, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750502,60, , ,6,0700,40, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750503,67, , ,6,0700,42, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750504,61, , ,6,0700,47, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750505,63, , ,6,0700,44, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750506,76, , ,6,0700,48, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750507,71, , ,6,0700,48, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750508,68, , ,6,0700,48, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750509,70, , ,6,0700,46, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750510,76, , ,6,0700,46, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750511,77, , ,6,0700,46, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750512,78, , ,6,0700,49, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750513,65, , ,6,0700,42, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750514,71, , ,6,0700,42, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750515,74, , ,6,0700,48, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750516,73, , ,6,0700,43, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750517,73, , ,6,0700,43, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750518,78, , ,6,0700,46, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750519,86, , ,6,0700,56, , ,6,0700
